Rk,G,DATE,AGE,TEAM,HOME/AWAY,OPPONENT,RESULT,GS,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,GAME_SCORE,+/-,PLAYOFF,LEAGUE,SERIES,INDEX,NAME,G#
25,23,1997-12-20,24-181,SAS,HOME,HOU,W (+13),0,10:52,2,5,.400,0,3,.000,0,0,,1,1,2,0,1,0,1,0,4,2.3,,N,NBA,,alexaco01,Cory Alexander,
26,24,1997-12-23,24-184,SAS,HOME,IND,W (+12),0,10:59,0,1,.000,0,1,.000,0,0,,0,0,0,2,0,1,0,0,0,1.4,,N,NBA,,alexaco01,Cory Alexander,
27,25,1997-12-26,24-187,SAS,HOME,BOS,W (+15),0,15:50,0,0,,0,0,,0,0,,0,3,3,1,2,0,5,3,0,-2.6,,N,NBA,,alexaco01,Cory Alexander,
28,26,1997-12-28,24-189,SAS,AWAY,POR,L (-3),0,5:19,2,4,.500,0,2,.000,1,3,.333,0,0,0,0,0,0,0,1,5,1.8,,N,NBA,,alexaco01,Cory Alexander,
29,27,1997-12-30,24-191,SAS,AWAY,VAN,W (+9),0,4:49,0,2,.000,0,2,.000,1,2,.500,0,3,3,1,1,0,0,1,1,1.4,,N,NBA,,alexaco01,Cory Alexander,
30,28,1998-01-02,24-194,SAS,HOME,POR,W (+16),0,16:33,1,2,.500,0,1,.000,0,0,,0,0,0,3,0,0,0,3,2,1.9,,N,NBA,,alexaco01,Cory Alexander,
31,29,1998-01-03,24-195,SAS,AWAY,MIA,W (+7),0,4:23,0,1,.000,0,1,.000,0,0,,0,0,0,1,0,0,1,0,0,-1.0,,N,NBA,,alexaco01,Cory Alexander,
32,,1998-01-05,24-197,SAS,AWAY,ORL,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
33,30,1998-01-07,24-199,SAS,HOME,DEN,W (+7),0,4:34,0,1,.000,0,1,.000,1,2,.500,0,0,0,2,1,0,1,1,1,0.9,,N,NBA,,alexaco01,Cory Alexander,
34,31,1998-01-09,24-201,SAS,AWAY,PHO,L (-21),0,19:38,3,7,.429,1,4,.250,0,1,.000,1,1,2,1,1,0,0,2,7,4.8,,N,NBA,,alexaco01,Cory Alexander,
35,32,1998-01-10,24-202,SAS,HOME,SAC,W (+42),0,10:10,2,5,.400,1,1,1.000,0,0,,1,1,2,3,1,0,1,0,5,5.4,,N,NBA,,alexaco01,Cory Alexander,
36,,1998-01-13,24-205,SAS,AWAY,BOS,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
37,,1998-01-14,24-206,SAS,AWAY,WAS,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
38,,1998-01-16,24-208,SAS,AWAY,CHH,W (+5),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
39,,1998-01-18,24-210,SAS,AWAY,MIL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
40,33,1998-01-19,24-211,SAS,AWAY,NJN,L (-11),0,3:14,1,2,.500,0,0,,0,0,,0,0,0,1,0,0,0,1,2,1.3,,N,NBA,,alexaco01,Cory Alexander,
41,,1998-01-21,24-213,SAS,HOME,ATL,W (+14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
42,,1998-01-23,24-215,SAS,HOME,DAL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
43,34,1998-01-24,24-216,SAS,AWAY,HOU,L (-25),0,2:47,1,2,.500,0,0,,0,0,,0,0,0,0,1,0,1,1,2,0.6,,N,NBA,,alexaco01,Cory Alexander,
44,35,1998-01-26,24-218,SAS,HOME,HOU,W (+25),0,1:36,0,0,,0,0,,0,0,,0,0,0,1,0,0,0,0,0,0.7,,N,NBA,,alexaco01,Cory Alexander,
45,36,1998-01-28,24-220,SAS,HOME,LAC,W (+23),0,5:23,1,2,.500,1,2,.500,0,0,,1,0,1,0,0,0,1,0,3,1.7,,N,NBA,,alexaco01,Cory Alexander,
46,,1998-01-30,24-222,SAS,AWAY,LAC,W (+10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
47,,1998-02-01,24-224,SAS,AWAY,SAC,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
48,,1998-02-03,24-226,SAS,AWAY,GSW,W (+9),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
49,,1998-02-11,24-234,SAS,HOME,SEA,L (-1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
50,37,1998-02-14,24-237,SAS,HOME,PHO,L (-13),0,4:16,0,1,.000,0,0,,0,0,,0,0,0,0,0,0,0,0,0,-0.7,,N,NBA,,alexaco01,Cory Alexander,
51,,1998-02-17,24-240,SAS,HOME,DET,W (+1),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
52,,1998-02-19,24-242,SAS,AWAY,DAL,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
53,,1998-02-21,24-244,SAS,HOME,UTA,L (-2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
54,,1998-02-22,24-245,SAS,AWAY,PHO,L (-18),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
55,,1998-02-24,24-247,SAS,HOME,MIN,W (+6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
56,,1998-02-26,24-249,SAS,HOME,TOR,W (+11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
57,38,1998-03-05,24-256,DEN,AWAY,MIL,L (-17),0,27:14,6,13,.462,3,8,.375,1,2,.500,1,1,2,4,5,0,2,2,16,14.9,,N,NBA,,alexaco01,Cory Alexander,
58,39,1998-03-06,24-257,DEN,AWAY,ATL,L (-21),0,29:32,4,9,.444,1,5,.200,2,2,1.000,1,0,1,6,2,0,4,2,11,8.4,,N,NBA,,alexaco01,Cory Alexander,
59,40,1998-03-08,24-259,DEN,HOME,LAC,L (-11),0,33:54,4,13,.308,1,5,.200,2,2,1.000,0,3,3,5,2,0,2,2,11,7.1,,N,NBA,,alexaco01,Cory Alexander,
60,41,1998-03-10,24-261,DEN,HOME,PHO,L (-24),0,19:52,2,5,.400,1,2,.500,2,2,1.000,0,3,3,0,1,0,3,1,7,2.8,,N,NBA,,alexaco01,Cory Alexander,
61,42,1998-03-12,24-263,DEN,HOME,VAN,W (+5),1,42:47,8,17,.471,2,5,.400,3,3,1.000,2,4,6,4,4,1,4,2,21,17.6,,N,NBA,,alexaco01,Cory Alexander,
62,43,1998-03-14,24-265,DEN,HOME,POR,W (+10),1,32:07,4,9,.444,2,4,.500,4,6,.667,0,4,4,9,2,0,3,1,14,14.6,,N,NBA,,alexaco01,Cory Alexander,
63,44,1998-03-16,24-267,DEN,AWAY,CHH,L (-22),1,33:23,3,8,.375,2,2,1.000,0,0,,0,3,3,4,0,0,4,0,8,3.3,,N,NBA,,alexaco01,Cory Alexander,
64,45,1998-03-17,24-268,DEN,AWAY,WAS,W (+1),1,31:52,5,11,.455,2,6,.333,2,2,1.000,0,2,2,5,2,0,0,3,14,13.2,,N,NBA,,alexaco01,Cory Alexander,
65,46,1998-03-19,24-270,DEN,AWAY,TOR,L (-1),1,38:45,5,12,.417,2,4,.500,0,0,,0,5,5,7,2,1,2,1,12,12.3,,N,NBA,,alexaco01,Cory Alexander,
66,47,1998-03-20,24-271,DEN,AWAY,MIN,L (-16),1,34:31,4,11,.364,3,6,.500,4,4,1.000,0,4,4,4,1,1,3,0,15,11.6,,N,NBA,,alexaco01,Cory Alexander,
67,48,1998-03-23,24-274,DEN,HOME,LAL,L (-21),1,29:30,2,8,.250,0,3,.000,2,2,1.000,0,6,6,4,1,0,5,1,6,1.4,,N,NBA,,alexaco01,Cory Alexander,
68,49,1998-03-25,24-276,DEN,HOME,DAL,L (-11),1,30:36,4,6,.667,2,4,.500,2,3,.667,0,5,5,4,0,0,2,1,12,10.9,,N,NBA,,alexaco01,Cory Alexander,
69,50,1998-03-27,24-278,DEN,HOME,GSW,W (+8),1,38:49,5,6,.833,3,4,.750,0,0,,0,4,4,7,3,1,3,2,13,16.8,,N,NBA,,alexaco01,Cory Alexander,
70,51,1998-04-01,24-283,DEN,HOME,MIL,L (-6),1,37:46,9,15,.600,4,7,.571,1,1,1.000,0,3,3,6,2,0,2,4,23,19.6,,N,NBA,,alexaco01,Cory Alexander,
71,52,1998-04-03,24-285,DEN,AWAY,UTA,L (-22),1,32:23,1,8,.125,1,3,.333,2,2,1.000,0,2,2,4,2,0,1,3,5,3.0,,N,NBA,,alexaco01,Cory Alexander,
72,53,1998-04-05,24-287,DEN,HOME,SEA,L (-4),1,38:42,10,15,.667,4,8,.500,1,2,.500,1,4,5,6,2,0,4,3,25,21.0,,N,NBA,,alexaco01,Cory Alexander,
73,54,1998-04-07,24-289,DEN,HOME,HOU,L (-17),1,38:16,7,16,.438,2,6,.333,3,4,.750,2,9,11,8,2,1,2,3,19,19.4,,N,NBA,,alexaco01,Cory Alexander,
74,55,1998-04-09,24-291,DEN,HOME,SAC,W (+25),1,39:38,7,13,.538,4,6,.667,5,6,.833,0,4,4,11,3,0,1,0,23,27.2,,N,NBA,,alexaco01,Cory Alexander,
75,56,1998-04-11,24-293,DEN,AWAY,DAL,L (-18),1,36:01,2,12,.167,0,5,.000,4,6,.667,0,8,8,6,2,0,2,3,8,5.0,,N,NBA,,alexaco01,Cory Alexander,
76,57,1998-04-14,24-296,DEN,AWAY,HOU,L (-6),1,39:11,8,19,.421,2,4,.500,4,4,1.000,2,2,4,7,3,0,4,2,22,17.0,,N,NBA,,alexaco01,Cory Alexander,
77,58,1998-04-15,24-297,DEN,AWAY,PHO,L (-7),1,38:25,4,7,.571,2,4,.500,2,2,1.000,0,5,5,10,2,0,7,4,12,10.6,,N,NBA,,alexaco01,Cory Alexander,
78,59,1998-04-17,24-299,DEN,HOME,POR,W (+8),1,36:53,4,11,.364,2,6,.333,7,8,.875,0,3,3,12,0,1,1,2,17,18.7,,N,NBA,,alexaco01,Cory Alexander,
79,60,1998-04-19,24-301,DEN,AWAY,SAS,L (-14),1,36:48,3,11,.273,1,5,.200,2,2,1.000,1,5,6,5,2,0,4,3,9,5.0,,N,NBA,,alexaco01,Cory Alexander,
1,1,1999-02-05,25-228,DEN,HOME,MIN,L (-18),0,23:59,1,8,.125,0,4,.000,4,4,1.000,0,1,1,2,2,0,3,3,6,0.3,,N,NBA,,alexaco01,Cory Alexander,
2,2,1999-02-07,25-230,DEN,AWAY,PHO,L (-7),0,14:24,2,7,.286,0,3,.000,0,2,.000,0,0,0,1,0,0,0,1,4,-0.6,,N,NBA,,alexaco01,Cory Alexander,
3,3,1999-02-08,25-231,DEN,AWAY,HOU,L (-19),0,26:10,6,13,.462,1,5,.200,1,1,1.000,0,1,1,5,0,0,0,2,14,10.3,,N,NBA,,alexaco01,Cory Alexander,
4,4,1999-02-10,25-233,DEN,HOME,LAL,L (-5),0,20:24,1,6,.167,1,3,.333,0,0,,0,0,0,2,3,0,1,3,3,1.4,,N,NBA,,alexaco01,Cory Alexander,
5,5,1999-02-12,25-235,DEN,HOME,DAL,W (+6),0,35:07,2,9,.222,0,5,.000,2,2,1.000,1,9,10,5,1,0,4,4,6,2.8,,N,NBA,,alexaco01,Cory Alexander,
6,6,1999-02-13,25-236,DEN,AWAY,SEA,L (-13),0,24:26,1,7,.143,0,1,.000,2,3,.667,0,2,2,5,1,0,3,3,4,0.0,,N,NBA,,alexaco01,Cory Alexander,
7,7,1999-02-15,25-238,DEN,HOME,PHO,L (-9),0,21:25,3,8,.375,2,5,.400,0,0,,0,2,2,8,2,0,1,4,8,9.2,,N,NBA,,alexaco01,Cory Alexander,
8,8,1999-02-17,25-240,DEN,AWAY,POR,L (-15),0,14:06,2,4,.500,0,2,.000,2,2,1.000,0,0,0,1,0,0,1,1,6,3.3,,N,NBA,,alexaco01,Cory Alexander,
9,9,1999-02-18,25-241,DEN,AWAY,UTA,L (-11),0,14:41,1,4,.250,1,3,.333,0,0,,0,1,1,1,0,0,1,0,3,0.6,,N,NBA,,alexaco01,Cory Alexander,
10,10,1999-02-22,25-245,DEN,HOME,LAL,W (+4),0,7:58,1,3,.333,1,2,.500,0,0,,0,2,2,0,0,0,1,3,3,-0.3,,N,NBA,,alexaco01,Cory Alexander,
11,11,1999-02-24,25-247,DEN,HOME,UTA,W (+10),0,15:50,1,5,.200,0,0,,0,0,,1,0,1,2,2,0,1,3,2,0.8,,N,NBA,,alexaco01,Cory Alexander,
12,12,1999-02-25,25-248,DEN,AWAY,DAL,L (-9),0,27:25,2,10,.200,0,4,.000,2,2,1.000,0,4,4,6,3,1,3,3,6,4.7,,N,NBA,,alexaco01,Cory Alexander,
13,13,1999-02-26,25-249,DEN,HOME,MIL,W (+1),0,28:54,5,10,.500,0,2,.000,3,3,1.000,1,2,3,6,1,1,2,3,13,12.0,,N,NBA,,alexaco01,Cory Alexander,
14,14,1999-02-28,25-251,DEN,HOME,VAN,W (+4),0,29:06,3,8,.375,1,4,.250,0,0,,1,3,4,6,1,0,0,4,7,7.8,,N,NBA,,alexaco01,Cory Alexander,
15,15,1999-03-02,25-253,DEN,AWAY,IND,L (-7),1,43:17,6,16,.375,4,12,.333,0,0,,0,3,3,2,2,0,3,2,16,7.7,,N,NBA,,alexaco01,Cory Alexander,
16,16,1999-03-04,25-255,DEN,AWAY,MIA,L (-8),1,44:48,4,7,.571,3,6,.500,0,0,,0,6,6,2,0,0,5,2,11,5.1,,N,NBA,,alexaco01,Cory Alexander,
17,17,1999-03-05,25-256,DEN,AWAY,BOS,L (-8),1,45:59,10,18,.556,5,7,.714,3,3,1.000,1,2,3,1,3,0,7,4,28,15.8,,N,NBA,,alexaco01,Cory Alexander,
18,18,1999-03-07,25-258,DEN,HOME,SAS,L (-10),1,38:44,5,11,.455,0,2,.000,1,2,.500,0,0,0,5,0,0,3,3,11,4.2,,N,NBA,,alexaco01,Cory Alexander,
19,19,1999-03-09,25-260,DEN,AWAY,HOU,L (-9),0,11:50,1,8,.125,0,4,.000,2,2,1.000,0,0,0,3,4,0,2,1,4,2.5,,N,NBA,,alexaco01,Cory Alexander,
20,20,1999-03-11,25-262,DEN,AWAY,UTA,L (-5),0,22:07,2,7,.286,0,2,.000,2,2,1.000,0,1,1,5,0,0,0,3,6,4.5,,N,NBA,,alexaco01,Cory Alexander,
21,21,1999-03-13,25-264,DEN,AWAY,SAS,L (-31),0,16:14,3,8,.375,0,0,,2,2,1.000,0,2,2,1,0,0,3,0,8,1.9,,N,NBA,,alexaco01,Cory Alexander,
22,22,1999-03-15,25-266,DEN,HOME,VAN,W (+26),0,22:38,6,9,.667,2,4,.500,0,0,,0,3,3,11,2,0,2,3,14,17.5,,N,NBA,,alexaco01,Cory Alexander,
23,23,1999-03-17,25-268,DEN,HOME,HOU,L (-5),0,22:34,7,9,.778,2,3,.667,2,2,1.000,0,1,1,4,1,0,2,4,18,15.0,,N,NBA,,alexaco01,Cory Alexander,
24,24,1999-03-19,25-270,DEN,HOME,MIN,L (-4),0,15:48,2,7,.286,0,2,.000,0,0,,1,2,3,3,1,0,1,1,4,2.9,,N,NBA,,alexaco01,Cory Alexander,
25,25,1999-03-21,25-272,DEN,HOME,SEA,W (+4),0,22:24,3,5,.600,1,2,.500,0,2,.000,0,2,2,5,1,1,0,3,7,8.5,,N,NBA,,alexaco01,Cory Alexander,
26,26,1999-03-23,25-274,DEN,AWAY,SAS,L (-30),0,16:44,2,7,.286,0,2,.000,0,0,,0,1,1,2,0,0,1,2,4,-0.2,,N,NBA,,alexaco01,Cory Alexander,
27,27,1999-03-25,25-276,DEN,HOME,SAS,L (-21),0,15:37,0,5,.000,0,0,,0,0,,0,1,1,3,1,0,5,1,0,-5.5,,N,NBA,,alexaco01,Cory Alexander,
28,28,1999-03-26,25-277,DEN,AWAY,DAL,L (-19),0,7:49,1,1,1.000,0,0,,2,2,1.000,1,2,3,0,0,0,4,2,4,0.2,,N,NBA,,alexaco01,Cory Alexander,
29,29,1999-03-27,25-278,DEN,HOME,WAS,L (-12),0,14:54,1,5,.200,0,2,.000,3,4,.750,0,3,3,5,0,1,0,0,5,6.6,,N,NBA,,alexaco01,Cory Alexander,
30,,1999-03-29,25-280,DEN,HOME,LAC,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
31,,1999-03-30,25-281,DEN,AWAY,VAN,L (-14),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
32,,1999-04-01,25-283,DEN,HOME,SEA,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
33,,1999-04-02,25-284,DEN,AWAY,MIN,L (-19),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
34,30,1999-04-04,25-286,DEN,HOME,LAC,W (+2),0,12:43,1,5,.200,0,2,.000,0,0,,0,1,1,2,0,0,1,3,2,-1.6,,N,NBA,,alexaco01,Cory Alexander,
35,,1999-04-05,25-287,DEN,AWAY,LAL,L (-13),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
36,,1999-04-07,25-289,DEN,AWAY,VAN,W (+3),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
37,,1999-04-10,25-292,DEN,AWAY,SAC,L (-6),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
38,,1999-04-12,25-294,DEN,HOME,GSW,L (-8),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
39,31,1999-04-14,25-296,DEN,HOME,NJN,W (+23),0,2:14,0,0,,0,0,,0,0,,0,2,2,0,0,0,0,0,0,0.6,,N,NBA,,alexaco01,Cory Alexander,
40,32,1999-04-15,25-297,DEN,AWAY,GSW,L (-6),0,26:52,4,7,.571,2,3,.667,2,2,1.000,0,4,4,4,1,1,4,1,12,10.0,,N,NBA,,alexaco01,Cory Alexander,
41,33,1999-04-17,25-299,DEN,AWAY,SAC,L (-22),0,24:22,2,8,.250,0,2,.000,2,2,1.000,0,3,3,1,1,0,1,2,6,2.0,,N,NBA,,alexaco01,Cory Alexander,
42,,1999-04-18,25-300,DEN,AWAY,LAC,W (+2),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
43,,1999-04-23,25-305,DEN,HOME,GSW,W (+12),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
44,34,1999-04-24,25-306,DEN,AWAY,GSW,L (-19),0,6:32,1,1,1.000,1,1,1.000,0,0,,0,0,0,1,0,0,1,0,3,2.4,,N,NBA,,alexaco01,Cory Alexander,
45,,1999-04-26,25-308,DEN,AWAY,POR,L (-16),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
46,,1999-04-29,25-311,DEN,HOME,PHO,L (-11),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
47,,1999-04-30,25-312,DEN,AWAY,SEA,L (-10),Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,N,NBA,,alexaco01,Cory Alexander,
48,35,1999-05-02,25-314,DEN,HOME,POR,L (-8),0,23:59,5,9,.556,3,5,.600,0,0,,0,0,0,5,2,0,2,2,13,11.4,,N,NBA,,alexaco01,Cory Alexander,
49,36,1999-05-03,25-315,DEN,HOME,SAC,L (-8),0,11:32,0,5,.000,0,1,.000,0,0,,0,1,1,4,0,0,1,1,0,-1.8,,N,NBA,,alexaco01,Cory Alexander,
