0,3P,3P%,3PA,AST,Age,BLK,DRB,Date,FG,FG%,FGA,FT,FT%,FTA,G,GS,GmSc,LEAGUE,MP,ORB,Opp,PF,PLAYOFF,PTS,Rk,STL,TOV,TRB,Tm,Unnamed: 5,Unnamed: 7,+/-,AST%,BLK%,BPM,DRB%,DRtg,ORB%,ORtg,STL%,TOV%,TRB%,TS%,USG%,eFG%,DATE,SERIES,TEAM,HOME/AWAY,OPPONENT,G#,RESULT,GAME_SCORE,ID
,2,.500,4,5,28-000,0,0,1997-03-09,10,.667,15,2,1.000,2,57,1,20.6,NBA,33:32,0,GSW,1,N,24,61,1,1,0,SAC,@,L (-4),,33.9,0.0,8.3,0.0,121,0.0,145,1.6,5.9,0.0,.756,23.8,.733,,,,,,,,,abdulma02
,1,.500,2,1,28-002,0,0,1997-03-11,7,.438,16,0,,0,58,1,5.3,NBA,35:22,0,CLE,0,N,15,62,0,2,0,SAC,,L (-3),,7.1,0.0,-5.3,0.0,114,0.0,90,0.0,11.1,0.0,.469,24.7,.469,,,,,,,,,abdulma02
,3,.600,5,4,28-004,0,2,1997-03-13,6,.500,12,2,1.000,2,59,1,10.0,NBA,30:50,0,TOR,6,N,17,63,1,3,2,SAC,,L (-7),,22.4,0.0,-1.0,10.7,119,0.0,112,1.8,18.9,4.7,.660,25.0,.625,,,,,,,,,abdulma02
,1,.143,7,2,28-007,0,1,1997-03-16,9,.500,18,3,.750,4,60,1,12.1,NBA,36:00,0,DAL,3,N,22,64,2,3,1,SAC,,L (-1),,11.1,0.0,-0.8,4.0,107,0.0,109,3.2,13.2,1.8,.557,29.6,.528,,,,,,,,,abdulma02
,0,.000,2,2,28-009,0,0,1997-03-18,1,.143,7,0,,0,61,1,-3.3,NBA,24:11,0,POR,3,N,2,65,1,2,0,SAC,@,L (-5),,11.4,0.0,-15.8,0.0,110,0.0,37,2.3,22.2,0.0,.143,17.9,.143,,,,,,,,,abdulma02
,2,.333,6,3,28-010,0,0,1997-03-19,8,.500,16,0,,0,62,1,12.9,NBA,31:19,0,LAC,3,N,18,66,3,1,0,SAC,@,L (-10),,18.1,0.0,3.8,0.0,118,0.0,118,5.1,5.9,0.0,.563,24.7,.563,,,,,,,,,abdulma02
,1,.333,3,6,28-012,0,1,1997-03-21,4,.364,11,7,.875,8,63,1,13.3,NBA,33:30,1,SAS,1,N,16,67,1,2,2,SAC,,W (+4),,26.2,0.0,1.6,3.5,114,3.7,124,1.6,12.1,3.6,.551,21.7,.409,,,,,,,,,abdulma02
,3,.375,8,2,28-013,0,1,1997-03-22,8,.500,16,2,1.000,2,64,1,14.2,NBA,37:29,1,SEA,3,N,21,68,3,3,2,SAC,@,L (-14),,11.0,0.0,1.9,3.4,124,3.7,118,4.3,15.1,3.6,.622,24.1,.594,,,,,,,,,abdulma02
,0,.000,3,0,28-016,0,0,1997-03-25,0,.000,6,0,,0,65,1,-5.6,NBA,15:23,0,ORL,1,N,0,69,0,1,0,SAC,@,L (-11),,0.0,0.0,-29.5,0.0,135,0.0,0,0.0,14.3,0.0,.000,21.7,.000,,,,,,,,,abdulma02
,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,28-017,Did Not Dress,Did Not Dress,1997-03-26,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,Did Not Dress,Did Not Dress,NBA,Did Not Dress,Did Not Dress,MIA,Did Not Dress,N,Did Not Dress,70,Did Not Dress,Did Not Dress,Did Not Dress,SAC,@,L (-13),,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,,,,,,abdulma02
,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,28-020,Did Not Dress,Did Not Dress,1997-03-29,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,Did Not Dress,Did Not Dress,NBA,Did Not Dress,Did Not Dress,ATL,Did Not Dress,N,Did Not Dress,71,Did Not Dress,Did Not Dress,Did Not Dress,SAC,@,L (-14),,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,,,,,,abdulma02
,2,.333,6,2,28-024,0,0,1997-04-02,4,.333,12,0,,0,66,1,1.4,NBA,31:11,0,UTA,3,N,10,72,1,3,0,SAC,@,L (-31),,13.0,0.0,-10.6,0.0,130,0.0,71,1.6,20.0,0.0,.417,21.0,.417,,,,,,,,,abdulma02
,1,.250,4,0,28-026,0,3,1997-04-04,3,.300,10,1,1.000,1,67,0,2.3,NBA,18:51,0,HOU,2,N,8,73,0,0,3,SAC,,L (-14),,0.0,0.0,-7.9,18.5,121,0.0,92,0.0,0.0,8.6,.383,23.7,.350,,,,,,,,,abdulma02
,0,.000,3,1,28-028,0,0,1997-04-06,2,.333,6,1,.500,2,68,0,1.9,NBA,15:08,0,SEA,0,N,5,74,0,0,0,SAC,,W (+12),,9.5,0.0,-9.0,0.0,115,0.0,92,0.0,0.0,0.0,.363,18.7,.333,,,,,,,,,abdulma02
,0,,0,0,28-030,0,1,1997-04-08,3,.429,7,0,,0,69,0,2.6,NBA,9:45,0,VAN,0,N,6,75,1,1,1,SAC,,W (+16),,0.0,0.0,-9.5,10.7,98,0.0,73,5.3,12.5,5.5,.429,37.4,.429,,,,,,,,,abdulma02
,3,.500,6,4,28-032,0,2,1997-04-10,7,.500,14,0,,0,70,0,12.7,NBA,25:57,1,PHO,1,N,17,76,1,2,3,SAC,,L (-2),,29.4,0.0,5.4,9.2,107,4.5,111,1.9,12.5,6.8,.607,26.7,.607,,,,,,,,,abdulma02
,1,.333,3,1,28-033,0,0,1997-04-11,3,.273,11,0,,0,71,0,0.4,NBA,19:13,0,GSW,2,N,7,77,0,0,0,SAC,,W (+10),,7.8,0.0,-12.6,0.0,104,0.0,79,0.0,0.0,0.0,.318,24.2,.318,,,,,,,,,abdulma02
,1,.500,2,1,28-036,0,0,1997-04-14,8,.571,14,0,,0,72,0,11.7,NBA,24:00,0,SAS,1,N,17,78,1,0,0,SAC,,W (+14),,7.1,0.0,-3.5,0.0,121,0.0,131,2.2,0.0,0.0,.607,26.1,.607,,,,,,,,,abdulma02
,0,.000,2,1,28-039,0,2,1997-04-17,1,.167,6,0,,0,73,0,1.5,NBA,18:50,0,LAL,0,N,2,79,3,1,2,SAC,@,L (-9),,6.9,0.0,-6.4,16.3,105,0.0,43,8.1,14.3,6.6,.167,15.4,.167,,,,,,,,,abdulma02
,4,.667,6,3,28-041,0,0,1997-04-19,11,.647,17,2,1.000,2,74,0,22.6,NBA,25:12,0,GSW,0,N,28,80,0,0,0,SAC,@,W (+2),,28.0,0.0,12.9,0.0,129,0.0,155,0.0,0.0,0.0,.783,34.7,.765,,,,,,,,,abdulma02
,5,.714,7,0,28-042,0,1,1997-04-20,11,.688,16,7,.778,9,75,1,24.5,NBA,40:00,0,UTA,3,N,34,81,0,1,1,SAC,,L (-4),,0.0,0.0,7.1,4.0,135,0.0,159,0.0,4.8,1.9,.852,25.6,.844,,,,,,,,,abdulma02
,0,,0,2,28-237,0,2,1997-11-01,4,.333,12,0,,0,1,0,2.2,NBA,21:37,0,VAN,0,N,8,1,0,1,2,SAC,@,L (-1),,16.0,0.0,-11.0,11.5,114,0.0,77,0.0,7.7,5.1,.333,26.4,.333,,,,,,,,,abdulma02
,1,1.000,1,0,28-238,0,1,1997-11-02,3,.333,9,0,,0,2,0,1.2,NBA,13:29,0,HOU,0,N,7,2,0,1,1,SAC,,L (-16),,0.0,0.0,-5.9,10.9,111,0.0,78,0.0,10.0,4.7,.389,34.2,.389,,,,,,,,,abdulma02
,1,.500,2,1,28-240,0,0,1997-11-04,3,.600,5,0,,0,3,0,4.6,NBA,15:43,0,LAL,2,N,7,3,0,0,0,SAC,,L (-3),,10.0,0.0,0.7,0.0,115,0.0,147,0.0,0.0,0.0,.700,13.9,.700,,,,,,,,,abdulma02
,1,.333,3,1,28-243,0,1,1997-11-07,3,.231,13,0,,0,4,0,0.3,NBA,26:54,0,LAC,2,N,7,4,1,0,1,SAC,,L (-13),,6.9,0.0,-8.3,4.9,105,0.0,69,1.8,0.0,2.0,.269,19.4,.269,,,,,,,,,abdulma02
,0,,0,0,28-245,0,0,1997-11-09,0,.000,2,0,,0,5,0,-2.4,NBA,7:13,0,NYK,0,N,0,5,0,1,0,SAC,,W (+8),,0.0,0.0,-23.2,0.0,98,0.0,0,0.0,33.3,0.0,.000,18.4,.000,,,,,,,,,abdulma02
,0,,0,4,28-247,0,1,1997-11-11,5,.500,10,0,,0,6,0,7.7,NBA,19:40,0,MIA,1,N,10,6,2,2,1,SAC,@,L (-19),,50.5,0.0,4.3,5.9,111,0.0,97,5.5,16.7,3.0,.500,28.0,.500,,,,,,,,,abdulma02
,0,.000,1,4,28-248,0,0,1997-11-12,10,.714,14,0,,0,7,0,16.3,NBA,23:43,1,ORL,1,N,20,7,0,1,1,SAC,@,W (+26),,30.8,0.0,9.5,0.0,102,4.9,138,0.0,6.7,2.2,.714,27.3,.714,,,,,,,,,abdulma02
,0,.000,3,4,28-250,0,2,1997-11-14,7,.467,15,6,1.000,6,8,0,13.6,NBA,29:24,1,ATL,2,N,20,8,0,2,3,SAC,@,L (-1),,26.1,0.0,1.1,7.4,118,3.4,119,0.0,10.2,5.3,.567,28.9,.467,,,,,,,,,abdulma02
,0,,0,0,28-251,0,1,1997-11-15,1,.333,3,0,,0,9,0,0.6,NBA,7:23,0,NYK,0,N,2,9,0,0,1,SAC,@,L (-27),,0.0,0.0,-12.1,24.5,130,0.0,65,0.0,0.0,10.4,.333,20.5,.333,,,,,,,,,abdulma02
,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,28-254,Did Not Dress,Did Not Dress,1997-11-18,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,Did Not Dress,Did Not Dress,NBA,Did Not Dress,Did Not Dress,DAL,Did Not Dress,N,Did Not Dress,10,Did Not Dress,Did Not Dress,Did Not Dress,SAC,,W (+7),,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,,,,,,abdulma02
,0,,0,1,28-256,0,0,1997-11-20,1,.250,4,0,,0,10,0,0.3,NBA,9:48,0,UTA,0,N,2,11,0,0,0,SAC,,W (+2),,14.0,0.0,-10.4,0.0,114,0.0,76,0.0,0.0,0.0,.250,18.9,.250,,,,,,,,,abdulma02
,1,.250,4,1,28-259,0,2,1997-11-23,4,.400,10,0,,0,11,0,3.5,NBA,18:46,0,CHI,1,N,9,12,0,1,2,SAC,,L (-15),,10.1,0.0,-4.6,11.0,120,0.0,98,0.0,9.1,5.6,.450,24.8,.450,,,,,,,,,abdulma02
,0,.000,1,0,28-261,0,0,1997-11-25,4,.571,7,0,,0,12,0,4.7,NBA,10:17,0,DEN,0,N,8,13,0,0,0,SAC,,W (+4),,0.0,0.0,-2.5,0.0,113,0.0,107,0.0,0.0,0.0,.571,33.5,.571,,,,,,,,,abdulma02
,0,,0,0,28-262,0,1,1997-11-26,1,.167,6,0,,0,13,0,-1.9,NBA,14:58,0,LAC,1,N,2,14,0,0,1,SAC,@,L (-2),,0.0,0.0,-18.0,7.8,115,0.0,50,0.0,0.0,3.4,.167,16.1,.167,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-264,Did Not Play,Did Not Play,1997-11-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,SEA,Did Not Play,N,Did Not Play,15,Did Not Play,Did Not Play,Did Not Play,SAC,@,L (-17),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,0,,0,2,28-266,0,0,1997-11-30,1,.200,5,0,,0,14,0,1.5,NBA,15:23,0,NJN,2,N,2,16,3,1,0,SAC,,L (-14),,24.8,0.0,-0.3,0.0,80,0.0,48,9.9,16.7,0.0,.200,17.6,.200,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-268,Did Not Play,Did Not Play,1997-12-02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,CHH,Did Not Play,N,Did Not Play,17,Did Not Play,Did Not Play,Did Not Play,SAC,@,L (-19),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,0,,0,0,28-270,0,1,1997-12-04,2,.333,6,0,,0,15,0,0.9,NBA,8:20,0,WAS,0,N,4,18,0,0,1,SAC,@,L (-22),,0.0,0.0,-14.4,13.6,126,0.0,65,0.0,0.0,7.1,.333,34.4,.333,,,,,,,,,abdulma02
,0,,0,1,28-271,0,0,1997-12-05,9,.529,17,0,,0,16,0,9.4,NBA,28:50,0,MIN,5,N,18,19,1,0,0,SAC,@,L (-11),,7.5,0.0,-1.8,0.0,122,0.0,113,1.9,0.0,0.0,.529,26.3,.529,,,,,,,,,abdulma02
,0,.000,2,2,28-273,1,3,1997-12-07,4,.333,12,2,1.000,2,17,0,4.7,NBA,26:43,1,GSW,3,N,10,20,0,1,4,SAC,,W (+15),,14.3,2.3,-4.8,11.3,90,3.4,86,0.0,7.2,7.1,.388,21.4,.333,,,,,,,,,abdulma02
,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,28-275,Did Not Dress,Did Not Dress,1997-12-09,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,Did Not Dress,Did Not Dress,NBA,Did Not Dress,Did Not Dress,UTA,Did Not Dress,N,Did Not Dress,21,Did Not Dress,Did Not Dress,Did Not Dress,SAC,,W (+12),,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-279,Did Not Play,Did Not Play,1997-12-13,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,GSW,Did Not Play,N,Did Not Play,22,Did Not Play,Did Not Play,Did Not Play,SAC,@,L (-4),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,28-280,Did Not Dress,Did Not Dress,1997-12-14,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,Did Not Dress,Did Not Dress,NBA,Did Not Dress,Did Not Dress,ATL,Did Not Dress,N,Did Not Dress,23,Did Not Dress,Did Not Dress,Did Not Dress,SAC,,L (-4),,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,Did Not Dress,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-282,Did Not Play,Did Not Play,1997-12-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,POR,Did Not Play,N,Did Not Play,24,Did Not Play,Did Not Play,Did Not Play,SAC,,W (+7),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,0,,0,5,28-285,0,0,1997-12-19,1,.333,3,2,1.000,2,18,0,2.4,NBA,15:49,0,HOU,1,N,4,25,0,3,0,SAC,@,L (-18),,38.5,0.0,-8.9,0.0,138,0.0,83,0.0,43.6,0.0,.515,20.3,.333,,,,,,,,,abdulma02
,0,.000,1,1,28-286,0,0,1997-12-20,0,.000,2,0,,0,19,0,-2.1,NBA,5:17,0,DAL,1,N,0,26,0,1,0,SAC,@,W (+1),,26.7,0.0,-31.0,0.0,107,0.0,18,0.0,33.3,0.0,.000,29.4,.000,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-288,Did Not Play,Did Not Play,1997-12-22,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,MIN,Did Not Play,N,Did Not Play,27,Did Not Play,Did Not Play,Did Not Play,SAC,,W (+10),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,0,,0,2,28-289,0,2,1997-12-23,0,.000,5,0,,0,20,0,-0.9,NBA,11:05,0,POR,1,N,0,28,1,0,2,SAC,@,L (-11),,27.3,0.0,-12.6,20.3,94,0.0,20,4.9,0.0,10.1,.000,21.2,.000,,,,,,,,,abdulma02
,0,.000,1,0,28-292,0,2,1997-12-26,3,.333,9,0,,0,21,0,1.5,NBA,10:05,0,SEA,0,N,6,29,0,0,2,SAC,,L (-16),,0.0,0.0,-14.1,23.4,118,0.0,72,0.0,0.0,11.0,.333,38.2,.333,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-294,Did Not Play,Did Not Play,1997-12-28,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,PHI,Did Not Play,N,Did Not Play,30,Did Not Play,Did Not Play,Did Not Play,SAC,,W (+2),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,0,.000,1,3,28-296,0,2,1997-12-30,4,.286,14,0,,0,22,0,3.1,NBA,21:23,0,LAL,1,N,8,31,1,0,2,SAC,@,L (-13),,30.0,0.0,-6.5,12.0,103,0.0,70,2.5,0.0,5.2,.286,30.1,.286,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-299,Did Not Play,Did Not Play,1998-01-02,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,VAN,Did Not Play,N,Did Not Play,32,Did Not Play,Did Not Play,Did Not Play,SAC,,W (+14),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-301,Did Not Play,Did Not Play,1998-01-04,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,CHH,Did Not Play,N,Did Not Play,33,Did Not Play,Did Not Play,Did Not Play,SAC,,W (+16),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,Not With Team,Not With Team,Not With Team,Not With Team,28-303,Not With Team,Not With Team,1998-01-06,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,,Not With Team,Not With Team,NBA,Not With Team,Not With Team,LAC,Not With Team,N,Not With Team,34,Not With Team,Not With Team,Not With Team,SAC,,W (+16),,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,Not With Team,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-305,Did Not Play,Did Not Play,1998-01-08,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,DAL,Did Not Play,N,Did Not Play,35,Did Not Play,Did Not Play,Did Not Play,SAC,@,W (+11),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,0,.000,2,1,28-307,0,0,1998-01-10,4,.444,9,0,,0,23,0,4.7,NBA,16:28,1,SAS,0,N,8,36,0,0,1,SAC,@,L (-42),,17.6,0.0,1.3,0.0,123,5.8,93,0.0,0.0,3.4,.444,25.8,.444,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-309,Did Not Play,Did Not Play,1998-01-12,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,PHO,Did Not Play,N,Did Not Play,37,Did Not Play,Did Not Play,Did Not Play,SAC,,W (+6),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-311,Did Not Play,Did Not Play,1998-01-14,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,ORL,Did Not Play,N,Did Not Play,38,Did Not Play,Did Not Play,Did Not Play,SAC,,W (+12),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-313,Did Not Play,Did Not Play,1998-01-16,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,IND,Did Not Play,N,Did Not Play,39,Did Not Play,Did Not Play,Did Not Play,SAC,@,L (-25),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,0,.000,2,4,28-316,0,1,1998-01-19,2,.333,6,0,,0,24,0,3.7,NBA,18:37,0,PHI,0,N,4,40,0,0,1,SAC,@,L (-13),,34.9,0.0,-3.5,5.9,118,0.0,94,0.0,0.0,2.7,.333,14.5,.333,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-318,Did Not Play,Did Not Play,1998-01-21,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,TOR,Did Not Play,N,Did Not Play,41,Did Not Play,Did Not Play,Did Not Play,SAC,@,L (-1),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,0,,0,2,28-319,0,0,1998-01-22,3,.429,7,1,1.000,1,25,0,3.7,NBA,10:45,0,CLE,0,N,7,42,0,1,0,SAC,@,L (-16),,38.1,0.0,-7.9,0.0,130,0.0,95,0.0,11.8,0.0,.470,34.5,.429,,,,,,,,,abdulma02
,1,.333,3,1,28-321,0,2,1998-01-24,5,.455,11,0,,0,26,0,6.8,NBA,16:57,0,MIL,2,N,11,43,1,0,2,SAC,@,L (-4),,11.3,0.0,0.5,11.8,108,0.0,101,3.1,0.0,6.4,.500,30.8,.500,,,,,,,,,abdulma02
,0,,0,2,28-323,0,2,1998-01-26,5,.455,11,3,1.000,3,27,0,8.9,NBA,17:41,0,SEA,1,N,13,44,0,0,2,SAC,,W (+19),,16.8,0.0,-0.3,8.9,101,0.0,127,0.0,0.0,5.3,.528,28.5,.455,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-327,Did Not Play,Did Not Play,1998-01-30,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,TOR,Did Not Play,N,Did Not Play,45,Did Not Play,Did Not Play,Did Not Play,SAC,,W (+26),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-329,Did Not Play,Did Not Play,1998-02-01,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,SAS,Did Not Play,N,Did Not Play,46,Did Not Play,Did Not Play,Did Not Play,SAC,,L (-6),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-331,Did Not Play,Did Not Play,1998-02-03,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,IND,Did Not Play,N,Did Not Play,47,Did Not Play,Did Not Play,Did Not Play,SAC,,L (-22),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,Did Not Play,Did Not Play,Did Not Play,Did Not Play,28-332,Did Not Play,Did Not Play,1998-02-04,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,Did Not Play,Did Not Play,NBA,Did Not Play,Did Not Play,DEN,Did Not Play,N,Did Not Play,48,Did Not Play,Did Not Play,Did Not Play,SAC,@,W (+2),,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,,,,,,,,,abdulma02
,0,.000,2,6,28-338,0,0,1998-02-10,3,.231,13,0,,0,28,0,3.9,NBA,29:02,2,PHO,2,N,6,49,2,1,2,SAC,@,L (-2),,31.0,0.0,-1.6,0.0,99,9.2,73,3.6,7.1,3.8,.231,22.2,.231,,,,,,,,,abdulma02
,0,,0,1,28-340,0,0,1998-02-12,0,.000,4,0,,0,29,0,-1.9,NBA,7:01,0,DEN,2,N,0,50,1,0,0,SAC,,W (+3),,22.1,0.0,-22.3,0.0,90,0.0,13,7.7,0.0,0.0,.000,25.5,.000,,,,,,,,,abdulma02
